"Tariff name","Old rate","New rate","Change","Change text",""
"0100000000 - LIVE ANIMALS","160","170","10","rate increased",""
"0101000000 - Live horses, asses, mules and hinnies","160","170","10","rate increased",""
"0104101000 - Pure-bred breeding animals","160","170","10","rate increased",""
"0104201000 - Pure-bred breeding animals","160","170","10","rate increased",""
"0201000000 - Meat of bovine animals, fresh or chilled","160","170","10","rate increased",""
"0202201000 - 'Compensated' quarters","160","170","10","rate increased",""
"0202301000 - Forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block; 'compensated' quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excluding the tenderloin, in one piece","160","170","10","rate increased",""
"0206101000 - For the manufacture of pharmaceutical products","160","170","10","rate increased",""
"0206801000 - For the manufacture of pharmaceutical products","160","170","10","rate increased",""
"0206901000 - For the manufacture of pharmaceutical products","160","170","10","rate increased",""
"0207601000 - Boneless","160","170","10","rate increased",""
"0207601000 - Cuts","160","170","10","rate increased",""
"0207601000 - Other, fresh, chilled or frozen","160","170","10","rate increased",""
"0208101000 - Of domestic rabbits","160","170","10","rate increased",""
"0208401000 - Whale meat","160","170","10","rate increased",""
"0208901000 - Of domestic pigeons","160","170","10","rate increased",""
"0210201000 - With bone in","160","170","10","rate increased",""
"0301000000 - Live fish","160","170","10","rate increased",""
"0308901000 - Live, fresh or chilled","160","170","10","rate increased",""
"0401000000 - Milk and cream, not concentrated nor containing added sugar or other sweetening matter","160","170","10","rate increased",""
"0401101000 - In immediate packings of a net content not exceeding two litres","160","170","10","rate increased",""
"0401401000 - In immediate packings of a net content not exceeding two litres","160","170","10","rate increased",""
"0405201000 - Of a fat content, by weight, of 39 % or more but less than 60 %","160","170","10","rate increased",""
"0405901000 - Of a fat content, by weight, of 99,3 % or more and of a water content, by weight, not exceeding 0,5 %","160","170","10","rate increased",""
"0406301000 - In the manufacture of which no cheeses other than Emmentaler, Gruyère and Appenzell have been used and which may contain, as an addition, Glarus herb cheese (known as Schabziger); put up for retail sale, of a fat content by weight in the dry matter not exceeding 56 %","160","170","10","rate increased",""
"0406401000 - Roquefort","160","170","10","rate increased",""
"0406900100 - For processing","160","170","10","rate increased",""
"0407901000 - Of poultry","160","170","10","rate increased",""
"0501000000 - Human hair, unworked, whether or not washed or scoured; waste of human hair","160","170","10","rate increased",""
"0505101000 - Raw","160","170","10","rate increased",""
"0601000000 - Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 1212","160","170","10","rate increased",""
"0601101000 - Hyacinths","160","170","10","rate increased",""
"0601201000 - Chicory plants and roots","160","170","10","rate increased",""
"0602101000 - Of vines","160","170","10","rate increased",""
"0602201000 - Vine slips, grafted or rooted","160","170","10","rate increased",""
"0602901000 - Mushroom spawn","160","170","10","rate increased",""
"0701000000 - Potatoes, fresh or chilled","160","170","10","rate increased",""
"0701901000 - For the manufacture of starch","160","170","10","rate increased",""
"0704901000 - White cabbages and red cabbages","160","170","10","rate increased",""
"0706901000 - Celeriac (rooted celery or German celery)","160","170","10","rate increased",""
"0709601000 - Sweet peppers","160","170","10","rate increased",""
"0710100000 - Potatoes","160","170","10","rate increased",""
"0710801000 - Olives","160","170","10","rate increased",""
"0711201000 - For uses other than the production of oil","160","170","10","rate increased",""
"0711901000 - Fruits of the genus Capsicum or of the genus Pimenta, excluding sweet peppers","160","170","10","rate increased",""
"0711901000 - Vegetables","160","170","10","rate increased",""
"0713101000 - For sowing","160","170","10","rate increased",""
"0714201000 - Fresh, whole, intended for human consumption","160","170","10","rate increased",""
"0801000000 - Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled","160","170","10","rate increased",""
"0802901000 - Pecans","160","170","10","rate increased",""
"0803101000 - Fresh","160","170","10","rate increased",""
"0803901000 - Fresh","160","170","10","rate increased",""
"0804201000 - Fresh","160","170","10","rate increased",""
"0805501000 - Lemons (Citrus limon, Citrus limonum)","160","170","10","rate increased",""
"0806101000 - Table grapes","160","170","10","rate increased",""
"0806101005 - Of the variety Emperor (Vitis vinifera c.v.), from 1 January to 31 January and from 1 December to 31 December","160","170","10","rate increased",""
"0806201000 - Currants","160","170","10","rate increased",""
"0808101000 - Cider apples, in bulk, from 16 September to 15 December","160","170","10","rate increased",""
"0808301000 - Perry pears, in bulk, from 1 August to 31 December","160","170","10","rate increased",""
"0809301000 - Nectarines","160","170","10","rate increased",""
"0810100000 - Strawberries","160","170","10","rate increased",""
"0810201000 - Raspberries","160","170","10","rate increased",""
"0810301000 - Blackcurrants","160","170","10","rate increased",""
"0810401000 - Cowberries, foxberries or mountain cranberries (fruit of the species Vaccinium vitis-idaea)","160","170","10","rate increased",""
"0813401000 - Peaches, including nectarines","160","170","10","rate increased",""
"0901000000 - Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion","160","170","10","rate increased",""
"0901901000 - Coffee husks and skins","160","170","10","rate increased",""
"0910201000 - Neither crushed nor ground","160","170","10","rate increased",""
"1001000000 - Wheat and meslin","160","170","10","rate increased",""
"1006101000 - For sowing","160","170","10","rate increased",""
"1007101000 - Hybrids","160","170","10","rate increased",""
"1101000000 - Wheat or meslin flour","160","170","10","rate increased",""
"1101001100 - Of durum wheat","160","170","10","rate increased",""
"1101001100 - Wheat flour","160","170","10","rate increased",""
"1101001500 - Of common wheat and spelt","160","170","10","rate increased",""
"1101009000 - Meslin flour","160","170","10","rate increased",""
"1102201000 - Of a fat content not exceeding 1,5 % by weight","160","170","10","rate increased",""
"1102901000 - Barley flour","160","170","10","rate increased",""
"1104301000 - Of wheat","160","170","10","rate increased",""
"1106201000 - Denatured","160","170","10","rate increased",""
"1106301000 - Of bananas","160","170","10","rate increased",""
"1201000000 - Soya beans, whether or not broken","160","170","10","rate increased",""
"1204001000 - For sowing","160","170","10","rate increased",""
"1205101000 - For sowing","160","170","10","rate increased",""
"1206001000 - For sowing","160","170","10","rate increased",""
"1207401000 - Seed","160","170","10","rate increased",""
"1207501000 - Seed","160","170","10","rate increased",""
"1210100000 - Hop cones, neither ground nor powdered nor in the form of pellets","160","170","10","rate increased",""
"1210100010 - In individual packages where the weight does not exceed 1 kilogram, destined for sale to  private individuals for their own use, for scientific and technical experiments, or for fairs covered by the special customs arrangements for fairs, with the description, weight and final destination indicated on the packaging","160","170","10","rate increased",""
"1210100090 - Other","160","170","10","rate increased",""
"1210201000 - Hop cones, ground, powdered or in the form of pellets, with higher lupulin content; lupulin","160","170","10","rate increased",""
"1214901000 - Mangolds, swedes and other fodder roots","160","170","10","rate increased",""
"1301000000 - Lac; natural gums, resins, gum-resins and oleoresins (for example, balsams)","160","170","10","rate increased",""
"1302201000 - Dry","160","170","10","rate increased",""
"1401000000 - Vegetable materials of a kind used primarily for plaiting (for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark)","160","170","10","rate increased",""
"1501000000 - Pig fat (including lard) and poultry fat, other than that of heading 0209 or 1503","160","170","10","rate increased",""
"1501101000 - For industrial uses other than the manufacture of foodstuffs for human consumption","160","170","10","rate increased",""
"1501201000 - For industrial uses other than the manufacture of foodstuffs for human consumption","160","170","10","rate increased",""
"1502101000 - For industrial uses other than the manufacture of foodstuffs for human consumption","160","170","10","rate increased",""
"1502901000 - For industrial uses other than the manufacture of foodstuffs for human consumption","160","170","10","rate increased",""
